1,PdDistrict,Category,SUM,district,AREA_MI2
0,BAYVIEW,LARCENY/THEFT,816,BAYVIEW,7.22
1,CENTRAL,LARCENY/THEFT,2170,CENTRAL,2.01
2,INGLESIDE,LARCENY/THEFT,534,INGLESIDE,6.94
3,MISSION,LARCENY/THEFT,1698,MISSION,2.89
4,NORTHERN,LARCENY/THEFT,2191,NORTHERN,2.97
5,PARK,LARCENY/THEFT,575,PARK,3.04
6,RICHMOND,LARCENY/THEFT,826,RICHMOND,4.95
7,SOUTHERN,LARCENY/THEFT,2481,SOUTHERN,3.28
8,TARAVAL,LARCENY/THEFT,767,TARAVAL,10.21
9,TENDERLOIN,NON-CRIMINAL,371,TENDERLOIN,0.4
