district,AREA_MI2
SOUTHERN,3.28
BAYVIEW,7.22
MISSION,2.89
NORTHERN,2.97
PARK,3.04
RICHMOND,4.95
INGLESIDE,6.94
TARAVAL,10.21
TENDERLOIN,0.4
CENTRAL,2.01
