PdDistrict,Category,SUM,Category
BAYVIEW,LARCENY/THEFT,816
CENTRAL,LARCENY/THEFT,2170
INGLESIDE,LARCENY/THEFT,534
MISSION,LARCENY/THEFT,1698
NORTHERN,LARCENY/THEFT,2191
PARK,LARCENY/THEFT,575
RICHMOND,LARCENY/THEFT,826
SOUTHERN,LARCENY/THEFT,2481
TARAVAL,LARCENY/THEFT,767
TENDERLOIN,NON-CRIMINAL,371
